fuel type,Body type,Kms Driven,transmission,Ownership,oem,price,Seats,Max Power,Torque,Mileage,City,Engine_category,Car_Age
Diesel,SUV,57000,Automatic,1st Owner,Audi,6600000,7,245.0,600.0,14.75,Chennai,3000,4
Diesel,MUV,800000,Manual,1st Owner,Toyota,2150000,8,147.8,343.0,13.68,Chennai,2000,6
Diesel,Sedan,5500000,Automatic,1st Owner,Mercedes-Benz,3600000,5,167.62,400.0,19.27,Chennai,2000,6
Diesel,Sedan,27000,Automatic,1st Owner,BMW,6800000,5,258.0,560.0,16.46,Chennai,3000,7
Petrol,SUV,38334,Manual,1st Owner,Tata,707000,5,108.5,170.0,17.0,Chennai,1000,6
Petrol,Hatchback,36992,Manual,1st Owner,Volkswagen,680000,5,75.1,95.0,17.74,Chennai,1000,5
Diesel,SUV,50000,Automatic,2nd Owner,BMW,3750000,5,258.0,560.0,16.55,Chennai,3000,8
Diesel,SUV,34596,Automatic,1st Owner,Tata,2039000,6,167.67,350.0,14.08,Chennai,2000,3
Petrol,Hatchback,84564,Manual,1st Owner,Datsun,401000,5,67.05,104.0,19.02,Chennai,1000,5
Diesel,Sedan,60001,Automatic,2nd Owner,Mercedes-Benz,2150000,5,204.0,500.0,13.0,Chennai,2000,11
Petrol,Hatchback,23462,Manual,1st Owner,Hyundai,505000,5,68.0,99.0,20.3,Chennai,1000,6
Petrol,SUV,13000,Automatic,1st Owner,Volkswagen,1599000,5,113.98,178.0,18.41,Chennai,1000,2
Diesel,Sedan,54658,Automatic,1st Owner,Honda,830000,5,78.9,160.0,23.8,Chennai,1000,5
Petrol,SUV,34164,Manual,1st Owner,Mahindra,1036000,5,108.62,200.0,16.82,Chennai,1000,4
Petrol,SUV,10000,Manual,1st Owner,Kia,1595000,5,113.43,144.0,16.8,Chennai,1000,2
Petrol,Hatchback,70000,Manual,3rd Owner,Fiat,100000,5,88.7,115.0,14.6,Chennai,1000,14
Petrol,SUV,37000,Manual,1st Owner,Hyundai,825000,5,81.86,113.76,17.52,Chennai,1000,4
Diesel,SUV,20000,Automatic,1st Owner,Mahindra,2900000,7,182.38,450.0,18.9,Chennai,2000,2
Petrol,Hatchback,53967,Manual,1st Owner,Maruti,550000,5,83.1,115.0,21.4,Chennai,1000,8
Petrol,Hatchback,52700,Manual,1st Owner,Hyundai,299000,5,78.9,111.7,20.36,Chennai,1000,13
Petrol,SUV,60000,Automatic,1st Owner,Tata,750000,5,108.5,170.0,17.0,Chennai,1000,6
Petrol,Hatchback,53967,Manual,1st Owner,Maruti,550000,5,83.1,115.0,21.4,Chennai,1000,8
Petrol,Sedan,99225,Manual,2nd Owner,Honda,375000,5,88.76,110.0,18.6,Chennai,1000,10
Petrol,Sedan,60000,Manual,2nd Owner,Fiat,265000,5,90.0,115.0,16.0,Chennai,1000,13
Petrol,Hatchback,48220,Automatic,1st Owner,Honda,808000,5,88.5,110.0,17.1,Chennai,1000,4
Petrol,Hatchback,72024,Manual,1st Owner,Honda,542000,5,88.7,110.0,18.7,Chennai,1000,8
Petrol,Sedan,80000,Automatic,1st Owner,Honda,529000,5,86.7,109.0,15.5,Chennai,1000,8
Petrol,Hatchback,78735,Manual,1st Owner,Volkswagen,684000,5,74.0,110.0,16.2,Chennai,1000,7
Diesel,SUV,72955,Manual,2nd Owner,Ford,813000,5,98.96,205.0,23.0,Chennai,1000,6
Petrol,Sedan,40000,Automatic,1st Owner,Maruti,650000,5,91.1,130.0,19.12,Chennai,1000,9
Petrol,SUV,14037,Manual,1st Owner,Jeep,1802000,5,160.77,250.0,14.3,Chennai,1000,3
Petrol,Hatchback,29000,Manual,1st Owner,Hyundai,745000,5,81.86,117.0,18.6,Chennai,1000,5
Petrol,Hatchback,69864,Manual,1st Owner,Maruti,619000,5,83.1,115.0,21.4,Chennai,1000,7
Petrol,Sedan,35739,Manual,1st Owner,Hyundai,650000,5,81.86,113.75,20.14,Chennai,1000,5
Petrol,Hatchback,120000,Automatic,2nd Owner,Honda,500000,5,88.7,110.0,19.0,Chennai,1000,8
Diesel,MUV,18000,Manual,1st Owner,Maruti,1145000,7,88.5,200.0,24.52,Chennai,1000,5
Diesel,SUV,21000,Manual,1st Owner,Tata,1600000,5,167.67,350.0,16.35,Chennai,2000,5
Petrol,Hatchback,70404,Manual,1st Owner,Maruti,540000,5,83.1,115.0,21.4,Chennai,1000,8
Petrol,Sedan,63000,Manual,1st Owner,Volkswagen,675000,5,103.2,153.0,16.09,Chennai,2000,9
Petrol,Sedan,88000,Manual,2nd Owner,Volkswagen,509999,5,73.75,110.0,17.0,Chennai,1000,7
Petrol,Sedan,65000,Manual,1st Owner,Honda,830000,5,117.6,145.0,17.4,Chennai,1000,7
Diesel,SUV,30000,Automatic,2nd Owner,Land Rover,3900000,7,187.7,420.0,12.51,Chennai,2000,7
Petrol,Sedan,71423,Automatic,1st Owner,Honda,509999,5,116.3,146.0,15.6,Chennai,1000,12
Petrol,MUV,80000,Automatic,1st Owner,Maruti,1200000,6,103.2,138.0,17.99,Chennai,1000,5
Petrol,Sedan,85759,Manual,1st Owner,Honda,766000,5,117.3,145.0,17.8,Chennai,1000,7
Petrol,Hatchback,24422,Manual,1st Owner,Hyundai,449000,5,68.0,99.0,20.3,Chennai,1000,5
Petrol,Sedan,90000,Manual,4th Owner,Hyundai,750000,5,121.3,151.0,17.0,Chennai,2000,7
Petrol,Hatchback,67091,Manual,2nd Owner,Honda,317000,5,86.8,109.0,19.4,Chennai,1000,12
Petrol,SUV,72787,Manual,1st Owner,MG,1560000,5,141.0,250.0,15.81,Chennai,1000,4
Diesel,SUV,120000,Manual,2nd Owner,Ford,1900000,7,157.7,385.0,13.5,Chennai,2000,7
Petrol,Hatchback,90142,Manual,1st Owner,Hyundai,522000,5,81.86,113.75,18.9,Chennai,1000,7
Petrol,Hatchback,150000,Manual,1st Owner,Hyundai,500000,5,81.83,114.7,18.6,Chennai,1000,9
Petrol,Hatchback,33256,Manual,1st Owner,Ford,627000,5,94.68,120.0,19.0,Chennai,1000,6
Petrol,Hatchback,70027,Automatic,1st Owner,Maruti,687000,5,83.1,115.0,21.4,Chennai,1000,6
Diesel,Sedan,120000,Manual,3rd Owner,Hyundai,204999,5,142.0,33.0,13.6,Chennai,2000,17
Petrol,Hatchback,60000,Manual,2nd Owner,Volkswagen,525000,5,74.0,110.0,16.2,Chennai,1000,9
Diesel,Hatchback,73686,Manual,1st Owner,Maruti,620000,5,74.0,190.0,25.2,Chennai,1000,7
Diesel,SUV,44000,Manual,2nd Owner,Mahindra,825000,7,100.0,240.0,18.49,Chennai,1000,6
Petrol,Hatchback,75581,Manual,1st Owner,Maruti,530000,5,81.8,113.0,21.21,Chennai,1000,9
Diesel,SUV,58000,Automatic,1st Owner,Mercedes-Benz,3600000,5,203.2,500.0,15.26,Chennai,2000,9
Diesel,Sedan,50000,Automatic,2nd Owner,Audi,1950000,5,143.0,320.0,20.38,Chennai,2000,9
Diesel,SUV,100000,Manual,1st Owner,Mahindra,650000,7,100.0,240.0,18.49,Chennai,1000,9
Diesel,Sedan,108902,Manual,1st Owner,Maruti,650000,5,88.5,200.0,28.09,Chennai,1000,7
Diesel,Sedan,100425,Manual,1st Owner,Volkswagen,570000,5,108.62,250.0,21.66,Chennai,1000,8
Petrol,Sedan,70887,Manual,2nd Owner,Hyundai,458000,5,82.0,114.0,19.1,Chennai,1000,8
Petrol,Sedan,114981,Manual,2nd Owner,Honda,577000,5,117.3,145.0,17.8,Chennai,1000,8
Petrol,SUV,45000,Manual,1st Owner,Honda,900000,5,88.7,110.0,17.5,Chennai,1000,6
Petrol,Hatchback,45416,Manual,1st Owner,Hyundai,649000,5,81.86,113.8,20.7,Chennai,1000,3
Petrol,Hatchback,119468,Manual,1st Owner,Hyundai,549000,5,81.83,114.7,18.6,Chennai,1000,8
Diesel,Sedan,100000,Automatic,3rd Owner,Volkswagen,650000,5,103.2,250.0,21.21,Chennai,1000,9
Petrol,Sedan,119975,Manual,1st Owner,Maruti,513999,5,88.5,113.0,22.41,Chennai,1000,7
Petrol,Sedan,19000,Automatic,1st Owner,BMW,3900000,5,252.0,350.0,15.34,Chennai,2000,7
Petrol,Hatchback,64906,Manual,2nd Owner,Hyundai,455999,5,82.0,114.0,18.9,Chennai,1000,8
Petrol,Hatchback,81484,Manual,2nd Owner,Maruti,501999,5,83.1,115.0,21.4,Chennai,1000,8
Petrol,Sedan,45067,Manual,1st Owner,Maruti,685000,5,81.8,113.0,21.21,Chennai,1000,6
Petrol,Sedan,68000,Automatic,1st Owner,Mercedes-Benz,11000000,4,459.0,700.0,7.81,Chennai,5000,6
Petrol,Hatchback,65768,Manual,1st Owner,Honda,580000,5,88.7,110.0,18.7,Chennai,1000,8
Petrol,Hatchback,61000,Manual,2nd Owner,Honda,530000,5,88.7,110.0,18.7,Chennai,1000,8
Diesel,Sedan,50000,Automatic,3rd Owner,Mercedes-Benz,1700000,5,210.0,50.0,13.0,Chennai,3000,15
Diesel,Sedan,23000,Automatic,1st Owner,BMW,4375000,5,190.0,400.0,18.12,Chennai,2000,6
Diesel,Sedan,17000,Automatic,1st Owner,BMW,8200000,5,258.0,560.0,16.46,Chennai,3000,6
Petrol,Hatchback,102958,Automatic,1st Owner,Maruti,420000,5,67.04,90.0,23.1,Chennai,1000,7
Diesel,Sedan,62900,Manual,1st Owner,Toyota,775000,5,87.2,205.0,21.43,Chennai,1000,11
Petrol,Hatchback,65076,Manual,2nd Owner,Maruti,395000,5,67.04,90.0,20.51,Chennai,1000,9
Petrol,Hatchback,75876,Manual,1st Owner,Maruti,533000,5,83.1,115.0,21.4,Chennai,1000,8
Petrol,Hatchback,98911,Manual,1st Owner,Hyundai,547000,5,81.83,114.7,18.6,Chennai,1000,9
Petrol,Hatchback,45000,Manual,1st Owner,Maruti,395000,5,67.04,90.0,23.1,Chennai,1000,9
Diesel,Sedan,76089,Automatic,1st Owner,Hyundai,908000,5,126.2,259.9,19.08,Chennai,2000,7
Petrol,Hatchback,54505,Manual,2nd Owner,Hyundai,521000,5,81.86,113.75,18.9,Chennai,1000,7
Diesel,Sedan,24000,Automatic,1st Owner,Audi,2290000,5,143.0,320.0,20.38,Chennai,2000,5
Petrol,Sedan,96573,Manual,1st Owner,Maruti,507000,5,88.5,113.0,22.41,Chennai,1000,8
Diesel,SUV,30000,Automatic,1st Owner,Kia,1625000,5,113.43,250.0,18.9,Chennai,1000,5
Petrol,Hatchback,63720,Manual,2nd Owner,Hyundai,528000,5,82.0,114.0,18.9,Chennai,1000,8
Petrol,Hatchback,14411,Manual,1st Owner,Maruti,434999,5,47.33,69.0,22.05,Chennai, less than 800,3
Petrol,SUV,11000,Automatic,1st Owner,Volkswagen,1490000,5,113.98,178.0,18.41,Chennai,1000,2
Petrol,SUV,21000,Automatic,1st Owner,Skoda,1789999,5,147.51,250.0,18.86,Chennai,1000,2
Petrol,SUV,34392,Manual,1st Owner,Honda,625000,5,88.7,110.0,17.5,Chennai,1000,7
Petrol,Hatchback,20000,Manual,1st Owner,Hyundai,690000,5,81.86,113.8,20.7,Chennai,1000,2
Petrol,SUV,10000,Manual,1st Owner,Kia,1350000,5,118.36,172.0,18.2,Chennai,1000,2
Petrol,SUV,20000,Automatic,1st Owner,MG,1550000,5,108.49,144.0,14.82,Chennai,1000,2
Petrol,Hatchback,47000,Automatic,1st Owner,Toyota,790000,5,81.8,113.0,19.56,Chennai,1000,5
Petrol,Hatchback,60333,Manual,2nd Owner,Maruti,270000,5,67.05,90.0,23.95,Chennai,1000,10
Diesel,Hatchback,81058,Manual,1st Owner,Hyundai,365000,5,73.97,190.24,24.0,Chennai,1000,10
Petrol,Sedan,51800,Manual,2nd Owner,Honda,425000,5,130.0,172.0,13.5,Chennai,2000,14
Petrol,Hatchback,32797,Manual,2nd Owner,Hyundai,528000,5,82.0,114.0,18.9,Chennai,1000,8
Petrol,Hatchback,69731,Manual,1st Owner,Hyundai,511000,5,82.0,114.0,18.9,Chennai,1000,8
Petrol,Sedan,54000,Manual,2nd Owner,Honda,625000,5,117.3,145.0,17.8,Chennai,1000,8
Petrol,Hatchback,110267,Manual,2nd Owner,Nissan,327000,5,67.04,104.0,19.49,Chennai,1000,8
Petrol,SUV,31767,Manual,1st Owner,Mahindra,505000,6,82.0,115.0,18.15,Chennai,1000,6
Petrol,SUV,45677,Manual,2nd Owner,Honda,640000,5,88.7,110.0,17.5,Chennai,1000,6
Petrol,Hatchback,66656,Manual,1st Owner,Maruti,449000,5,65.71,89.0,25.24,Chennai,1000,7
Diesel,Sedan,27000,Manual,1st Owner,Honda,725000,5,98.63,200.0,24.7,Chennai,1000,5
Petrol,Hatchback,37004,Manual,1st Owner,Renault,495000,5,67.0,91.0,21.74,Chennai,1000,3
Petrol,Hatchback,85274,Manual,2nd Owner,Hyundai,271000,5,78.9,111.7,20.36,Chennai,1000,13
Diesel,SUV,60000,Manual,2nd Owner,Hyundai,940000,5,126.2,259.9,19.67,Chennai,2000,7
Petrol,Sedan,42000,Manual,1st Owner,Honda,799000,5,117.6,145.0,17.4,Chennai,1000,7
Diesel,SUV,20000,Manual,1st Owner,Hyundai,1850000,5,113.45,250.0,18.9,Chennai,1000,2
Diesel,MUV,30000,Automatic,1st Owner,Kia,2000000,7,114.41,250.0,18.9,Chennai,1000,2
Diesel,Sedan,25000,Automatic,1st Owner,Mercedes-Benz,4500000,5,191.7,400.0,16.1,Chennai,2000,7
Diesel,SUV,80000,Manual,3rd Owner,Mahindra,700000,7,140.0,330.0,15.1,Chennai,2000,10
Petrol,Sedan,60000,Manual,2nd Owner,Hyundai,585000,5,121.3,154.9,17.1,Chennai,2000,9
Diesel,SUV,20000,Manual,1st Owner,Tata,2050000,5,167.67,350.0,16.35,Chennai,2000,2
Petrol,SUV,20000,Automatic,1st Owner,MG,1989999,5,141.0,250.0,18.9,Chennai,1000,2
Petrol,SUV,20000,Automatic,1st Owner,MG,1989999,5,141.0,250.0,18.9,Chennai,1000,2
Diesel,SUV,55037,Manual,2nd Owner,Hyundai,1445000,5,113.45,250.0,18.9,Chennai,1000,4
Petrol,Hatchback,65607,Manual,1st Owner,Hyundai,451000,5,68.0,99.0,20.3,Chennai,1000,6
Cng,MUV,70000,Manual,1st Owner,Maruti,1100000,7,91.18,122.0,18.9,Chennai,1000,3
Petrol,Hatchback,74777,Manual,1st Owner,Hyundai,631000,5,81.83,114.7,18.6,Chennai,1000,8
Petrol,Sedan,102392,Manual,2nd Owner,Toyota,411000,5,88.73,132.0,17.6,Chennai,1000,12
Diesel,Sedan,90210,Manual,1st Owner,Skoda,500000,5,103.6,250.0,21.14,Chennai,1000,9
Petrol,Sedan,62373,Manual,1st Owner,Maruti,488000,5,88.5,113.0,22.41,Chennai,1000,10
Diesel,Sedan,80000,Manual,1st Owner,Tata,459999,5,74.0,190.0,22.95,Chennai,1000,9
Petrol,Hatchback,25219,Automatic,2nd Owner,Maruti,513999,5,65.71,89.0,26.0,Chennai,1000,6
Diesel,Hatchback,64409,Manual,3rd Owner,Maruti,508000,5,74.0,190.0,25.2,Chennai,1000,10
Diesel,SUV,52000,Manual,1st Owner,Tata,865000,5,108.5,260.0,21.5,Chennai,1000,6
Petrol,Sedan,30000,Automatic,2nd Owner,Maruti,855000,5,103.25,138.0,20.28,Chennai,1000,6
Diesel,Sedan,14000,Automatic,1st Owner,Mercedes-Benz,11800000,5,281.61,600.0,13.5,Chennai,3000,4
Diesel,SUV,48574,Manual,1st Owner,Hyundai,925000,5,88.76,220.0,23.7,Chennai,1000,5
Petrol,Sedan,71423,Automatic,1st Owner,Honda,509999,5,118.0,146.0,16.8,Chennai,1000,12
Diesel,Sedan,30000,Automatic,1st Owner,Mercedes-Benz,5700000,5,191.7,400.0,16.1,Chennai,2000,4
Petrol,Hatchback,75498,Manual,1st Owner,Maruti,350000,5,67.1,90.0,18.9,Chennai,1000,11
Petrol,Sedan,95963,Manual,1st Owner,Honda,630000,5,117.3,145.0,17.8,Chennai,1000,7
Petrol,Hatchback,46613,Manual,1st Owner,Maruti,409999,5,67.04,90.0,20.51,Chennai,1000,9
Petrol,SUV,30000,Manual,1st Owner,Honda,725000,5,88.7,110.0,17.5,Chennai,1000,7
Petrol,Sedan,18722,Manual,1st Owner,Honda,466000,5,86.7,109.0,18.0,Chennai,1000,9
Petrol,SUV,5593,Automatic,1st Owner,Kia,1864000,5,138.08,242.0,16.5,Chennai,1000,1
Diesel,SUV,40000,Automatic,1st Owner,Audi,2700000,5,174.33,380.0,15.73,Chennai,2000,7
Petrol,Hatchback,20875,Manual,1st Owner,Maruti,503000,5,65.71,89.0,25.24,Chennai,1000,3
Petrol,Hatchback,46436,Manual,2nd Owner,Renault,309000,5,53.3,72.0,25.17,Chennai, less than 800,6
Petrol,Sedan,127672,Automatic,1st Owner,Honda,640000,5,117.3,145.0,18.0,Chennai,1000,8
Petrol,SUV,12814,Manual,1st Owner,Hyundai,841000,5,81.86,113.76,17.52,Chennai,1000,3
Diesel,SUV,26000,Manual,1st Owner,Tata,1889999,7,167.67,350.0,16.14,Chennai,2000,2
Petrol,Hatchback,45851,Manual,1st Owner,Hyundai,288000,5,78.9,111.7,20.36,Chennai,1000,13
Petrol,SUV,36349,Manual,1st Owner,Hyundai,940000,5,118.35,171.6,18.0,Chennai,1000,3
Petrol,Hatchback,35000,Automatic,1st Owner,Volkswagen,844999,5,103.5,175.0,17.21,Chennai,1000,6
Diesel,SUV,17059,Automatic,1st Owner,Tata,2055999,7,167.67,350.0,14.08,Chennai,2000,3
Diesel,SUV,37000,Automatic,1st Owner,BMW,7700000,5,261.5,620.0,13.38,Chennai,3000,5
Petrol,Hatchback,48163,Manual,2nd Owner,Maruti,400000,5,67.04,90.0,20.51,Chennai,1000,8
Petrol,Sedan,40000,Manual,3rd Owner,Maruti,425000,5,85.8,114.0,19.1,Chennai,1000,11
Diesel,Sedan,150000,Manual,2nd Owner,Tata,200000,5,70.0,13.5,17.0,Chennai,1000,16
Petrol,Hatchback,20000,Manual,1st Owner,Volkswagen,750000,5,75.1,95.0,17.74,Chennai,1000,4
Diesel,SUV,47000,Automatic,1st Owner,Hyundai,1689999,5,126.2,259.87,17.6,Chennai,2000,5
Petrol,Hatchback,112711,Manual,1st Owner,Hyundai,310000,5,78.9,111.8,20.36,Chennai,1000,11
Diesel,SUV,53000,Automatic,1st Owner,Toyota,3900000,7,174.5,450.0,15.04,Chennai,3000,4
Petrol,Hatchback,65895,Automatic,2nd Owner,Maruti,437000,5,65.71,89.0,26.68,Chennai,1000,8
Petrol,SUV,15625,Automatic,1st Owner,Mahindra,1026000,5,108.6,200.0,17.0,Chennai,1000,2
Diesel,Hatchback,107595,Manual,1st Owner,Maruti,560000,5,74.0,190.0,25.2,Chennai,1000,9
Petrol,Hatchback,23838,Manual,1st Owner,Maruti,532000,5,81.8,113.0,20.89,Chennai,1000,7
Petrol,Hatchback,28975,Manual,1st Owner,Maruti,323000,5,65.71,89.0,24.39,Chennai,1000,9
Petrol,SUV,30742,Manual,1st Owner,Honda,770000,5,88.7,110.0,17.5,Chennai,1000,6
Petrol,Hatchback,10363,Manual,1st Owner,Maruti,492000,5,65.71,89.0,21.7,Chennai,1000,2
Petrol,Sedan,100000,Manual,1st Owner,Honda,650000,5,117.3,145.0,17.4,Chennai,1000,9
Petrol,Sedan,75555,Manual,1st Owner,Honda,633000,5,117.3,145.0,17.8,Chennai,1000,8
Petrol,SUV,60929,Manual,2nd Owner,Hyundai,982000,5,121.3,151.0,15.8,Chennai,2000,6
Diesel,SUV,78000,Automatic,2nd Owner,BMW,1350000,5,245.0,540.0,11.7,Chennai,3000,15
Diesel,SUV,120000,Manual,1st Owner,Maruti,900000,5,88.5,200.0,24.3,Chennai,1000,7
Diesel,Sedan,143185,Manual,1st Owner,Honda,370000,5,98.6,200.0,25.8,Chennai,1000,10
Petrol,Sedan,115434,Manual,1st Owner,Maruti,620000,5,91.1,130.0,20.73,Chennai,1000,7
Petrol,Hatchback,43000,Manual,1st Owner,Maruti,480000,5,81.8,113.0,20.89,Chennai,1000,6
Petrol,Hatchback,63309,Manual,1st Owner,Honda,430000,5,86.8,109.0,18.5,Chennai,1000,9
Diesel,Hatchback,150000,Manual,1st Owner,Maruti,500000,5,74.0,190.0,25.2,Chennai,1000,9
Diesel,Sedan,53000,Automatic,1st Owner,BMW,7600000,5,258.0,560.0,16.46,Chennai,3000,5
Petrol,Hatchback,39386,Manual,1st Owner,Maruti,790000,5,81.8,113.0,21.01,Chennai,1000,5
Diesel,Sedan,42000,Automatic,1st Owner,BMW,5200000,4,261.4,620.0,17.09,Chennai,3000,6
Petrol,MUV,29257,Automatic,1st Owner,Renault,776000,7,71.01,96.0,18.2,Chennai,1000,3
Petrol,Hatchback,61829,Automatic,1st Owner,Maruti,702000,5,83.1,115.0,21.4,Chennai,1000,7
Petrol,Hatchback,83901,Manual,1st Owner,Maruti,290000,5,67.05,90.0,23.95,Chennai,1000,10
Petrol,Hatchback,33295,Manual,1st Owner,Maruti,383000,5,65.71,89.0,25.24,Chennai,1000,10
Petrol,Hatchback,33610,Manual,1st Owner,Maruti,411000,5,65.71,89.0,25.24,Chennai,1000,9
Diesel,Sedan,95600,Manual,1st Owner,Maruti,615000,5,88.5,200.0,26.21,Chennai,1000,10
Petrol,Hatchback,20960,Manual,1st Owner,Tata,515000,5,84.0,114.0,23.84,Chennai,1000,6
