fuel type,Body type,Kms Driven,transmission,Ownership,oem,price,Seats,Max Power,Torque,Mileage,City,Engine_category,Car_Age
4,7,-1.114497964190455,0,1,13,0.8196556643411679,5,0.4652698372037021,0.0050550592902659,-0.0864312138693921,1,1,2
4,5,-1.0941709131191049,1,1,20,-0.6823433749610808,7,-0.8066303047641248,-0.7605103450448164,-1.0966725718520145,1,1,9
4,7,-0.8186165803280032,1,1,24,0.0022412211834815735,5,-0.0879618603497641,-0.1243362766536916,0.2283748750203773,1,1,3
4,2,0.0467477030545104,1,1,9,-0.7170834887952824,5,-0.9454289313677569,-0.781644263248996,0.1739992778485077,1,1,9
4,2,-0.226853812603099,1,1,8,-0.4064660003953616,5,-0.3664003173546255,-0.6634668430868482,-0.1436686845766226,1,1,9
1,8,-1.114497964190455,0,1,21,2.099931035936894,5,2.1249649298641,2.166968630687224,-1.7749365997326982,1,2,8
4,2,-0.8362806989445917,0,1,20,-0.6046890028611005,5,-0.9737494592202148,-0.8791190696601109,1.115555670982454,1,1,8
4,2,-0.442847222822689,1,1,20,-0.9480030689873288,5,-1.0001071782116118,-0.8791190696601109,-0.0578124785157763,1,1,14
1,7,-1.0257039608933334,0,1,1,2.099931035936894,5,2.1249649298641,2.166968630687224,-0.7589714946793525,1,2,6
4,7,-0.9391882442519524,0,2,6,0.1473322848439709,5,0.549390216963479,-0.2321623899403229,-1.2597993633676214,1,1,6
4,2,-1.114497964190455,1,1,9,0.2372478735913164,5,-0.5598771908021126,-0.612357265388985,0.514562228556531,1,1,3
4,2,-1.182225212956571,0,1,8,0.08806973771503863,5,-0.3664003173546255,-0.6634668430868482,-0.2867623613446994,1,1,5
1,8,-0.226853812603099,0,1,1,2.099931035936894,5,2.1249649298641,2.166968630687224,0.3342641958287545,1,2,4
4,2,-0.226853812603099,1,1,20,-0.28385383392170865,5,-0.5598771908021126,-0.6311190091008588,0.8007495820926847,1,1,6
4,2,-0.1935671569185731,1,2,9,-0.48616390860323605,5,-0.558194783206917,-0.6230320506043615,-0.0864312138693921,1,1,6
1,7,0.3422148529795551,1,1,29,-0.07950022313228707,5,0.188794189059902,0.9539248562126216,0.6576559053246078,1,1,5
1,7,0.2169682631905791,1,1,12,0.9729208724332341,5,1.847928479188568,1.9243598757923035,-0.6015684502344679,1,2,7
4,8,1.05375040489198,1,1,8,-0.3655952782374773,5,0.4355473030219142,-0.2860754465836386,-0.5157122441736226,1,1,10
1,7,-1.1736742409629457,1,1,30,2.099931035936894,7,2.1249649298641,2.166968630687224,-0.0864312138693921,1,3,2
4,8,1.2296222994598216,1,2,8,-0.7640848192768493,5,-0.4224805705278101,-0.6742494544155113,-0.3439998320519299,1,1,10
4,2,-0.8186165803280032,1,1,9,-0.968438430066271,5,-0.9454289313677569,-0.8344790587594455,0.3142310810812236,1,1,8
4,8,-0.8008045210194836,1,1,8,-0.6537338694505618,5,-0.4224805705278101,-0.6742494544155113,-0.3439998320519299,1,1,10
1,2,0.2021741939974565,1,1,20,-0.15102398690858462,5,-0.7785901781775325,0.1991420632062023,1.716549113408376,1,1,6
4,8,-0.3212695621936074,1,2,8,0.09011327382293285,5,0.4355473030219142,-0.2860754465836386,-0.4012373027591605,1,1,7
2,7,-1.114497964190455,0,1,29,0.7174788589464571,5,0.7075365309118596,0.7921856862826746,-0.0864312138693921,1,0,4
1,7,-1.114497964190455,0,1,9,1.3816280940120773,5,0.6851044296425859,0.952846595079755,-0.6273253120527217,1,2,5
4,7,-1.0634584254741823,0,1,9,0.5866925480412273,5,0.464989435937836,0.0007420147588006,-0.3010717290215073,1,1,4
4,8,0.6607903389842573,1,1,8,0.10441802657819237,5,0.4355473030219142,-0.2860754465836386,-0.4012373027591605,1,1,8
4,8,0.897495446074219,0,2,0,1.3305396913147218,5,2.10982326150734,1.6008815359324091,-1.623257302358537,1,2,11
4,8,-0.807964850508955,0,2,8,0.6929564256517265,5,0.4439593409978918,-0.2860754465836386,-0.5157122441736226,1,1,5
4,2,0.3649089551218052,0,2,20,-0.324724556079593,5,-0.5234250262395427,-0.6095537864435325,0.629037169970992,1,1,7
4,2,-1.22557183569242,1,1,9,-0.3696823504532657,5,-0.554269165484794,-0.6203363977721957,-0.0864312138693921,1,1,8
4,2,-0.0789131206718729,0,2,20,-0.712996416579494,5,-0.9737494592202148,-0.8791190696601109,1.115555670982454,1,1,7
4,4,-1.3216149328941718,0,1,30,2.099931035936894,7,1.7338051639811378,0.7921856862826746,-2.511869035088292,1,3,2
4,2,0.4133743257984749,0,2,20,-0.6680386222058212,5,-0.9737494592202148,-0.8791190696601109,1.115555670982454,1,1,8
4,8,-0.3420996116175241,1,1,8,-0.6108196111847832,5,-0.4224805705278101,-0.6742494544155113,-0.3439998320519299,1,1,9
4,7,0.069027571259353,1,1,8,-0.20211238960594002,5,-0.3664003173546255,-0.6634668430868482,-0.4870935088200068,1,1,7
1,2,0.6607903389842573,1,1,8,-0.3553775976980062,5,-0.0888030641473619,0.3069681764928336,2.3175425558342995,1,1,7
1,2,0.0098512944868626,0,1,21,2.099931035936894,5,0.1551460371559911,0.8460987429259902,-1.202561892660391,1,2,9
4,8,0.3649089551218052,1,2,20,-1.223880443553048,5,-0.4701487857250171,-0.6634668430868482,-0.9449932744778524,1,1,16
4,2,0.1212210473726896,0,1,20,-0.09584851199544078,5,-0.5234250262395427,-0.6095537864435325,0.629037169970992,1,1,7
4,7,-0.6405551635195795,1,2,17,-0.6149066834005716,6,-0.554269165484794,-0.6095537864435325,-0.3010717290215073,1,1,8
1,7,2.7319600260214223,0,1,27,-0.20211238960594002,5,0.1873921827305724,0.7921856862826746,0.1138999336059162,1,1,8
4,2,-1.1974335160871006,1,1,9,0.10646156268608659,5,-0.0879618603497641,0.0050550592902659,0.4287060224956847,1,1,2
4,8,0.1557504048694378,0,2,8,0.04719901555715433,5,0.4355473030219142,-0.2860754465836386,-0.3439998320519299,1,1,8
4,8,0.9566717228467094,1,2,30,-0.5086428057900724,5,1.018781936023034,0.015837670618929,-1.3370699488223834,1,2,11
4,7,-1.0842292986213264,1,1,17,0.7236094672701398,5,0.1921590042502932,0.3069681764928336,-0.6817009092245913,1,1,3
1,8,-0.4339707813068155,1,1,30,1.5144579410252013,5,-0.4199569591350167,0.3608812331361493,0.6376227905770769,1,1,6
1,8,1.5633765004566675,0,1,20,-0.24911372008750698,5,-0.7780293756458008,0.1991420632062023,2.513580893006562,1,1,7
4,8,0.6280066816522977,1,1,9,0.17594179035448992,5,0.5477078093682833,-0.2213797786116598,-0.6301871855880836,1,2,6
1,8,0.0394394328731078,0,1,0,2.099931035936894,5,2.1249649298641,2.166968630687224,-0.1923205346777682,1,2,9
4,8,0.9583878348731116,1,1,2,-0.8151732219742048,5,-0.543053114850157,-0.6796407600798429,-0.2867623613446994,1,1,10
1,7,0.3353208167355599,0,1,0,2.099931035936894,5,2.1249649298641,2.166968630687224,-1.7119753819547443,1,3,9
1,7,0.2761445399630696,1,1,8,0.35986004006496936,5,-0.0888030641473619,0.3069681764928336,1.8024053194692224,1,1,5
1,8,0.6607903389842573,1,1,20,0.20659483197290315,5,-0.372008342671944,0.3069681764928336,2.513580893006562,1,1,7
1,8,0.6607903389842573,1,1,20,0.20659483197290315,5,-0.372008342671944,0.3069681764928336,2.513580893006562,1,1,7
1,7,-0.0197368438993825,0,1,0,2.099931035936894,7,2.1249649298641,2.166968630687224,-1.2741087310444297,1,3,4
1,4,2.879900717952649,1,1,30,2.099931035936894,8,1.2907711639129795,1.8488815964916612,-1.580329199328114,1,2,6
1,8,2.879900717952649,0,1,21,2.099931035936894,5,1.846526472859239,2.166968630687224,0.019458106938985,1,2,6
1,8,-0.9073809954867388,0,1,1,2.099931035936894,5,2.1249649298641,2.166968630687224,-0.7847283564976064,1,3,7
4,7,-0.5720290350170356,1,1,29,-0.08563083145596971,5,0.188794189059902,-0.0165101633670603,-0.6301871855880836,1,1,6
4,2,-0.6117363167313767,1,1,31,-0.14080630636911354,5,-0.7477460389322811,-0.8252060130167952,-0.4184085439713303,1,1,5
1,7,-0.226853812603099,0,2,1,2.099931035936894,5,2.1249649298641,2.166968630687224,-0.7589714946793525,1,3,8
1,7,-0.6826294963048203,0,1,29,2.099931035936894,6,1.847928479188568,1.9243598757923035,-1.4658542579136524,1,2,3
4,2,0.7958306025790804,1,1,4,-0.7109528804715998,5,-0.973469057954349,-0.728162511058827,-0.0520887314450533,1,1,5
1,8,0.0690571593977393,0,2,21,2.099931035936894,5,2.1249649298641,2.166968630687224,-1.7749365997326982,1,2,11
4,2,-1.0120638290972743,1,1,9,-0.49842512525060134,5,-0.9468309376970864,-0.7820755677021427,0.3142310810812236,1,1,6
4,7,-1.3216149328941718,0,1,31,1.737203376785671,5,0.3424540827544279,0.0697507272622447,-0.2266630171021069,1,1,2
1,8,-0.0890322639999688,0,1,8,0.16572410981501884,5,-0.64119355790323,-0.1243362766536916,1.3158868184577617,1,1,5
4,7,-0.6954115720876782,1,1,17,0.5866925480412273,5,0.1921590042502932,0.3069681764928336,-0.6817009092245913,1,1,4
4,7,-1.4103793480529074,1,1,13,1.7290292323540941,5,0.3270320131318022,-0.2968580579123017,-0.6874246562953141,1,1,2
4,2,0.3649089551218052,1,3,5,-1.3260572489477587,5,-0.3664003173546255,-0.6095537864435325,-1.3170368340748526,1,1,14
4,7,-0.6114996116242868,1,1,9,0.15550642927554775,5,-0.558194783206917,-0.6229242244910748,-0.4813697617492838,1,1,4
1,7,-1.114497964190455,0,1,17,2.099931035936894,7,2.1249649298641,2.166968630687224,-0.0864312138693921,1,2,2
4,2,-0.1094776676248642,1,1,20,-0.4064660003953616,5,-0.5234250262395427,-0.6095537864435325,0.629037169970992,1,1,8
4,2,-0.1469658389602369,1,1,9,-0.9193935634768098,5,-0.64119355790323,-0.6451364038281209,0.3314023222933925,1,1,13
4,7,0.069027571259353,0,1,29,0.0022412211834815735,5,0.188794189059902,-0.0165101633670603,-0.6301871855880836,1,1,6
4,2,-0.1094776676248642,1,1,20,-0.4064660003953616,5,-0.5234250262395427,-0.6095537864435325,0.629037169970992,1,1,8
